OGNTsort	BCV	Pre	OGNTa	PM	Post	Lemma	RMAC	Gloss	中文	OTquotation	LN	sn
000001	Mat 1:1		Βίβλος			βίβλος	N-NSF	[The] book	書	-	33.38	00976
000002	Mat 1:1		γενέσεως			γένεσις	N-GSF	of [the] genealogy	出生	-	10.24|33.19	01078
000003	Mat 1:1		Ἰησοῦ			Ἰησοῦς	N-GSM	of Jesus	耶穌	-	93.169	02424
000004	Mat 1:1		Χριστοῦ			Χριστός	N-GSM	Christ	基督	-	93.387	05547
000005	Mat 1:1		υἱοῦ			υἱός	N-GSM	son	子孫	-	10.3	05207
000006	Mat 1:1		Δαυὶδ			Δαυίδ	N-GSM	of David	大衛	-	93.91	01138
000007	Mat 1:1		υἱοῦ			υἱός	N-GSM	son	子孫	-	10.3	05207
000008	Mat 1:1		Ἀβραάμ	.	¶	Ἀβραάμ	N-GSM	of Abraham	亞伯拉罕	-	93.7	00011
000009	Mat 1:2		Ἀβραὰμ			Ἀβραάμ	N-NSM	Abraham	亞伯拉罕	-	93.7	00011
000010	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000011	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000012	Mat 1:2		Ἰσαάκ	,		Ἰσαάκ	N-ASM	Isaac	以撒	-	93.18	02464
000013	Mat 1:2		Ἰσαὰκ			Ἰσαάκ	N-NSM	Isaac	以撒	-	93.18	02464
000014	Mat 1:2		δὲ			δέ	CONJ	then	-	-	89.87	01161
000015	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000016	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000017	Mat 1:2		Ἰακώβ	,		Ἰακώβ	N-ASM	Jacob	雅各	-	93.157	02384
000018	Mat 1:2		Ἰακὼβ			Ἰακώβ	N-NSM	Jacob	雅各	-	93.157	02384
000019	Mat 1:2		δὲ			δέ	CONJ	then	-	-	89.87	01161
000020	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000021	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000022	Mat 1:2		Ἰούδαν			Ἰούδας	N-ASM	Judah	猶大	-	93.173	02455
000023	Mat 1:2		καὶ			καί	CONJ	and	和	-	89.92	02532
000024	Mat 1:2		τοὺς			ὀ	T-APM	the	-	-	92.24	03588
000025	Mat 1:2		ἀδελφοὺς			ἀδελφός	N-APM	brothers	兄弟姊妹	-	10.49	00080
000026	Mat 1:2		αὐτοῦ	,		αὐτός	P-GSM	of him	他	-	92.11	00846
000027	Mat 1:3		Ἰούδας			Ἰούδας	N-NSM	Judah	猶大	-	93.173	02455
000028	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000029	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000030	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000031	Mat 1:3		Φαρὲς			Φάρες	N-ASM	Perez	法勒斯	-	93.374	05329
000032	Mat 1:3		καὶ			καί	CONJ	and	和	-	89.92	02532
000033	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000034	Mat 1:3		Ζαρὰ			Ζαρά	N-ASM	Zerah	謝拉	-	93.135	02196
000035	Mat 1:3		ἐκ			ἐκ	PREP	out of	從	-	89.77	01537
000036	Mat 1:3		τῆς			ὀ	T-GSF	-	-	-	92.24	03588
000037	Mat 1:3		Θάμαρ	,		Θάμαρ	N-GSF	Tamar	她瑪	-	93.151	02283
000038	Mat 1:3		Φαρὲς			Φάρες	N-NSM	Perez	法勒斯	-	93.374	05329
000039	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000040	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000041	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000042	Mat 1:3		Ἑσρώμ	,		Ἐσρώμ	N-ASM	Hezron	希斯崙	-	93.127	02074
000043	Mat 1:3		Ἑσρὼμ			Ἐσρώμ	N-NSM	Hezron	希斯崙	-	93.127	02074
000044	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000045	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000046	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000047	Mat 1:3		Ἀράμ	,		Ἀράμ	N-ASM	Ram	亞蘭	-	93.35	00689
000048	Mat 1:4		Ἀρὰμ			Ἀράμ	N-NSM	Ram	亞蘭	-	93.35	00689
000049	Mat 1:4		δὲ			δέ	CONJ	then	-	-	89.87	01161
