OGNTsort	CUV
000001	｛8＃譜，｜2｝
000002	｛7＃家｜3｝
000003	｛5＃耶穌｜4｝
000004	｛6＃基督的｜5｝
000005	｛4＃子孫，｜6｝
000006	｛3＃大衛的｜7｝
000007	｛2＃後裔。〔後裔子孫原文都作兒子下同〕｜8｝
000008	｛1＃亞伯拉罕的｜9｝
000009	｛1＃亞伯拉罕｜11｝
000010	｛2＃生｜12｝
000011	
000012	｛3＃以撒；｜14｝
000013	｛4＃以撒｜15｝
000014	
000015	｛5＃生｜17｝
000016	
000017	｛6＃雅各；｜19｝
000018	｛7＃雅各｜20｝
000019	
000020	｛8＃生｜22｝
000021	
000022	｛9＃猶大｜24｝
000023	｛10＃和｜25｝
000024	
000025	｛12＃弟兄；｜27｝
000026	｛11＃他的｜28｝
000027	｛1＃猶大｜29｝
000028	
000029	｛4＃生｜31｝
000030	
000031	｛5＃法勒斯｜33｝
000032	｛6＃和｜34｝
000033	
000034	｛7＃謝拉；｜36｝
000035	｛2＃從｜37｝
000036	
000037	｛3＃他瑪氏｜39｝
000038	｛8＃法勒斯｜40｝
000039	
000040	｛9＃生｜42｝
000041	
000042	｛10＃希斯崙；｜44｝
000043	｛11＃希斯崙｜45｝
000044	
000045	｛12＃生｜47｝
000046	
000047	｛13＃亞蘭；｜49｝
000048	｛1＃亞蘭｜50｝
000049	
000050	｛2＃生｜52｝
000051	
000052	｛3＃亞米拿達；｜54｝
000053	｛4＃亞米拿達｜55｝
000054	
000055	｛5＃生｜57｝
000056	
000057	｛6＃拿順；｜59｝
000058	｛7＃拿順｜60｝
000059	
000060	｛8＃生｜62｝
000061	
000062	｛9＃撒門；｜64｝
000063	｛1＃撒門｜65｝
000064	
000065	｛4＃生｜67｝
000066	
000067	｛5＃波阿斯；｜69｝
000068	｛2＃從｜70｝
000069	
000070	｛3＃喇合氏｜72｝
000071	｛6＃波阿斯｜73｝
000072	
000073	｛9＃生｜75｝
000074	
000075	｛10＃俄備得；｜77｝
000076	｛7＃從｜78｝
000077	
000078	｛8＃路得氏｜80｝
000079	｛11＃俄備得｜81｝
000080	
000081	｛12＃生｜83｝
000082	
000083	｛13＃耶西；｜85｝
000084	｛1＃耶西｜86｝
000085	
000086	｛2＃生｜88｝
000087	
000088	｛3＃大衛｜90｝
000089	
000090	｛4＃王。｜92｝
000091	｛5＃大衛｜93｝
000092	
000093	｛9＃生｜95｝
000094	
000095	｛10＃所羅門；｜97｝
000096	｛6＃從｜98｝
000097	
000098	｛8＃妻子｜100｝
000099	｛7＃烏利亞的｜101｝
000100	｛1＃所羅門｜104｝
000101	
000102	｛2＃生｜106｝
000103	
000104	｛3＃羅波安；｜108｝
000105	｛4＃羅波安｜109｝
000106	
000107	｛5＃生｜111｝
000108	
000109	｛6＃亞比雅；｜113｝
000110	｛7＃亞比雅｜114｝
000111	
000112	｛8＃生｜116｝
000113	
000114	｛9＃亞撒；｜118｝
000115	｛1＃亞撒｜119｝
000116	
000117	｛2＃生｜121｝
000118	
000119	｛3＃約沙法；｜123｝
000120	｛4＃約沙法｜124｝
000121	
000122	｛5＃生｜126｝
000123	
000124	｛6＃約蘭；｜128｝
000125	｛7＃約蘭｜129｝
000126	
000127	｛8＃生｜131｝
000128	
000129	｛9＃烏西亞；｜133｝
000130	｛1＃烏西亞｜134｝
000131	
000132	｛2＃生｜136｝
000133	
000134	｛3＃約坦；｜138｝
000135	｛4＃約坦｜139｝
000136	
000137	｛5＃生｜141｝
000138	
000139	｛6＃亞哈斯；｜143｝
000140	｛7＃亞哈斯｜144｝
000141	
000142	｛8＃生｜146｝
000143	
000144	｛9＃希西家；｜148｝
000145	｛1＃希西家｜149｝
000146	
000147	｛2＃生｜151｝
000148	
000149	｛3＃瑪拿西；｜153｝
000150	｛4＃瑪拿西｜154｝
000151	
000152	｛5＃生｜156｝
000153	
000154	｛6＃亞們；｜158｝
000155	｛7＃亞們｜159｝
000156	
000157	｛8＃生｜161｝
000158	
000159	｛9＃約西亞；｜163｝
000160	｛4＃約西亞｜164｝
000161	
000162	｛5＃生｜166｝
000163	
000164	｛6＃耶哥尼雅｜168｝
000165	｛7＃和｜169｝
000166	
000167	｛9＃弟兄。｜171｝
000168	｛8＃他的｜172｝
000169	
000170	
000171	｛1＃百姓被遷到｜175｝
000172	｛2＃巴比倫｜176｝〈3＊的時候，｜177〉
000173	｛3＃之後，｜178｝
000174	
000175	
000176	｛1＃遷到｜181｝
000177	｛2＃巴比倫｜182｝
000178	｛4＃耶哥尼雅｜183｝
000179	｛5＃生｜184｝
000180	
000181	｛6＃撒拉鐵；｜186｝
000182	｛7＃撒拉鐵｜187｝
000183	
000184	｛8＃生｜189｝
000185	
000186	｛9＃所羅巴伯；｜191｝
000187	｛1＃所羅巴伯｜192｝
000188	
000189	｛2＃生｜194｝
000190	
000191	｛3＃亞比玉；｜196｝
