OGNTsort	OGNTa	RMAC
000314	ἐβουλήθη	V-AOI-3S
000321	ἐνθυμηθέντος	V-AOP-GSM
000334	φοβηθῇς	V-AOS-2S
000349	τέξεται	V-FDI-3S
000389	τέξεται	V-FDI-3S
000497	ἐπυνθάνετο	V-INI-3S
000533	ἐξελεύσεται	V-FDI-3S
000534	ἡγούμενος	V-PNP-NSM
000562	Πορευθέντες	V-AOP-NPM
000583	ἐπορεύθησαν	V-AOI-3P
000825	πορεύου	V-PNM-2S
000864	ἐφοβήθη	V-AOI-3S
000899	παραγίνεται	V-PNI-3S
000970	ἐξεπορεύετο	V-INI-3S
001003	ἐρχομένους	V-PNP-APM
001040	δύναται	V-PNI-3S
001060	κεῖται	V-PNI-3S
001085	ἐρχόμενος	V-PNP-NSM
001131	παραγίνεται	V-PNI-3S
001161	ἔρχῃ	V-PNI-2S
001164	Ἀποκριθεὶς	V-AOP-NSM
001209	ἐρχόμενον	V-PNP-ASN
001272	ἀποκριθεὶς	V-AOP-NSM
001279	ζήσεται	V-FDI-3S
001286	ἐκπορευομένῳ	V-PNP-DSN
001324	ἐντελεῖται	V-FNI-3S
001462	καθήμενος	V-PNP-NSM
001470	καθημένοις	V-PNP-DPM
001481	ἤρξατο	V-ADI-3S
001632	δαιμονιζομένους	V-PNP-APM
001634	σεληνιαζομένους	V-PNP-APM
001733	ὄψονται	V-FDI-3P
001767	ψευδόμενοι	V-PNP-NPM
001772	ἀγαλλιᾶσθε	V-PNM-2P
001822	δύναται	V-PNI-3S
001827	κειμένη	V-PNP-NSF
001984	ἔσται	V-FDI-3S
001999	ἔσται	V-FDI-3S
002011	ἔσται	V-FDI-3S
002020	ἔσται	V-FDI-3S
002233	μοιχᾶται	V-PNI-3S
002292	δύνασαι	V-PNI-2S
002406	προσεύχεσθε	V-PNM-2P
002453	ἀσπάσησθε	V-ADS-2P
002468	Ἔσεσθε	V-FDI-2P
002575	προσεύχησθε	V-PNS-2P
002577	ἔσεσθε	V-FDI-2P
002593	προσεύχεσθαι	V-PNN
002608	προσεύχῃ	V-PNS-2S
002619	πρόσευξαι	V-ADM-2S
002638	Προσευχόμενοι	V-PNP-NPM
002672	προσεύχεσθε	V-PNM-2P
002688	Γενηθήτω	V-AOM-3S
002726	ῥῦσαι	V-ADM-2S
002765	γίνεσθε	V-PNM-2P
002868	ἔσται	V-FDI-3S
002892	ἔσται	V-FDI-3S
002905	ἔσται	V-FDI-3S
002919	δύναται	V-PNI-3S
002934	ἀνθέξεται	V-FDI-3S
002940	δύνασθε	V-PNI-2P
003010	δύναται	V-PNI-3S
003359	εἰσερχόμενοι	V-PNP-NPM
003386	ἔρχονται	V-PNI-3P
003401	ἐπιγνώσεσθε	V-FDI-2P
003427	δύναται	V-PNI-3S
003456	ἐπιγνώσεσθε	V-FDI-2P
003465	εἰσελεύσεται	V-FDI-3S
003522	ἐργαζόμενοι	V-PNP-VPM
003669	δύνασαί	V-PNI-2S
003676	ἥψατο	V-ADI-3S
003742	ἀποκριθεὶς	V-AOP-NSM
003779	Πορεύθητι	V-AOM-2S
003781	πορεύεται	V-PNI-3S
003784	Ἔρχου	V-PNM-2S
003786	ἔρχεται	V-PNI-3S
003850	ἔσται	V-FDI-3S
003867	γενηθήτω	V-AOM-3S
003894	ἥψατο	V-ADI-3S
003913	δαιμονιζομένους	V-PNP-APM
003967	ἀπέρχῃ	V-PNS-2S
004113	δαιμονιζόμενοι	V-PNP-NPM
004117	ἐξερχόμενοι	V-PNP-NPM
004213	δαιμονιζομένων	V-PNP-GPM
004288	ἐνθυμεῖσθε	V-PNI-2P
004349	ἐφοβήθησαν	V-AOI-3P
004367	καθήμενον	V-PNP-ASM
004385	ἀνακειμένου	V-PNP-GSM
004396	συνανέκειντο	V-INI-3P
004436	πορευθέντες	V-AOP-NPM
004454	προσέρχονται	V-PNI-3P
004480	δύνανται	V-PNI-3P
004493	ἐλεύσονται	V-FDI-3P
004525	γίνεται	V-PNI-3S
004584	ζήσεται	V-FDI-3S
004603	ἥψατο	V-ADI-3S
004728	δύναμαι	V-PNI-1S
004736	ἥψατο	V-ADI-3S
004745	γενηθήτω	V-AOM-3S
004753	ἐνεβριμήθη	V-AOI-3S
004773	ἐξερχομένων	V-PNP-GPM
004779	δαιμονιζόμενον	V-PNP-ASM
004842	ἐσπλαγχνίσθη	V-AOI-3S
004868	δεήθητε	V-AOM-2P
004882	προσκαλεσάμενος	V-ADP-NSM
004975	πορεύεσθε	V-PNM-2P
004985	πορευόμενοι	V-PNP-NPM
005008	κτήσησθε	V-ADS-2P
005055	εἰσερχόμενοι	V-PNP-NPM
005060	ἀσπάσασθε	V-ADM-2P
005090	δέξηται	V-ADS-3S
005097	ἐξερχόμενοι	V-PNP-NPM
005115	ἔσται	V-FDI-3S
005136	γίνεσθε	V-PNM-2P
005224	ἐπαναστήσονται	V-FDI-3P
005232	ἔσεσθε	V-FDI-2P
005317	φοβηθῆτε	V-AOM-2P
005353	φοβεῖσθε	V-PNM-2P
005363	δυναμένων	V-PNP-GPM
005365	φοβεῖσθε	V-PNM-2P
005369	δυνάμενον	V-PNP-ASM
005387	πεσεῖται	V-FDI-3S
005407	φοβεῖσθε	V-PNM-2P
005436	ἀρνήσηταί	V-ADS-3S
005441	ἀρνήσομαι	V-FDI-1S
005550	δεχόμενος	V-PNP-NSM
005553	δέχεται	V-PNI-3S
005557	δεχόμενος	V-PNP-NSM
005558	δέχεται	V-PNI-3S
005563	δεχόμενος	V-PNP-NSM
005570	λήμψεται	V-FDI-3S
005573	δεχόμενος	V-PNP-NSM
005580	λήμψεται	V-FDI-3S
005646	ἐρχόμενος	V-PNP-NSM
005651	ἀποκριθεὶς	V-AOP-NSM
005656	Πορευθέντες	V-AOP-NPM
005690	πορευομένων	V-PNP-GPM
005691	ἤρξατο	V-ADI-3S
005704	θεάσασθαι	V-ADN
005814	δέξασθαι	V-ADN
005820	ἔρχεσθαι	V-PNN
005834	καθημένοις	V-PNP-DPN
005847	ὠρχήσασθε	V-ADI-2P
005891	ἤρξατο	V-ADI-3S
005938	ἔσται	V-FDI-3S
005953	καταβήσῃ	V-FDI-2S
005977	ἔσται	V-FDI-3S
005987	ἀποκριθεὶς	V-AOP-NSM
006048	βούληται	V-PNS-3S
006101	ἐπορεύθη	V-AOI-3S
006115	ἤρξαντο	V-ADI-3P
006264	ἔσται	V-FDI-3S
006419	δαιμονιζόμενος	V-PNP-NSM
006520	ἔσονται	V-FDI-3P
006541	δύναταί	V-PNI-3S
006662	δύνασθε	V-PNI-2P
006726	ἀπεκρίθησαν	V-ADI-3P
006742	ἀποκριθεὶς	V-AOP-NSM
006778	ἔσται	V-FDI-3S
006855	διέρχεται	V-PNI-3S
006881	πορεύεται	V-PNI-3S
006896	γίνεται	V-PNI-3S
006906	ἔσται	V-FDI-3S
006949	ἀποκριθεὶς	V-AOP-NSM
007012	ἐκάθητο	V-INI-3S
007027	καθῆσθαι	V-PNN
007148	ἀποκριθεὶς	V-AOP-NSM
007251	ἰάσομαι	V-FDI-1S
007305	ἔρχεται	V-PNI-3S
007387	γίνεται	V-PNI-3S
007590	γίνεται	V-PNI-3S
007656	ἐρεύξομαι	V-FDI-1S
007686	ἀποκριθεὶς	V-AOP-NSM
007751	ἔσται	V-FDI-3S
007788	ἔσται	V-FDI-3S
007906	ἔσται	V-FDI-3S
007912	ἐξελεύσονται	V-FDI-3P
007932	ἔσται	V-FDI-3S
008147	ἐφοβήθη	V-AOI-3S
008160	ὠρχήσατο	V-ADI-3S
008208	συνανακειμένους	V-PNP-APM
008280	ἐσπλαγχνίσθη	V-AOI-3S
008438	προσεύξασθαι	V-ADN
008506	φοβεῖσθε	V-PNM-2P
008507	Ἀποκριθεὶς	V-AOP-NSM
008550	ἐφοβήθη	V-AOI-3S
008638	ἥψαντο	V-ADI-3P
008641	προσέρχονται	V-PNI-3P
008671	ἀποκριθεὶς	V-AOP-NSM
008762	σέβονταί	V-PNI-3P
008769	προσκαλεσάμενος	V-ADP-NSM
008779	εἰσερχόμενον	V-PNP-NSN
008788	ἐκπορευόμενον	V-PNP-NSN
008812	ἀποκριθεὶς	V-AOP-NSM
008839	πεσοῦνται	V-FNI-3P
008840	Ἀποκριθεὶς	V-AOP-NSM
008864	εἰσπορευόμενον	V-PNP-NSN
008878	ἐκπορευόμενα	V-PNP-NPN
008885	ἐξέρχεται	V-PNI-3S
008894	ἐξέρχονται	V-PNI-3P
008950	δαιμονίζεται	V-PNI-3S
008954	ἀπεκρίθη	V-ADI-3S
008973	ἀποκριθεὶς	V-AOP-NSM
008997	ἀποκριθεὶς	V-AOP-NSM
009033	ἀποκριθεὶς	V-AOP-NSM
009044	γενηθήτω	V-AOM-3S
009073	ἐκάθητο	V-INI-3S
009123	προσκαλεσάμενος	V-ADP-NSM
009128	Σπλαγχνίζομαι	V-PNI-1S
009266	ἀποκριθεὶς	V-AOP-NSM
009299	δύνασθε	V-PNI-2P
009347	διελογίζοντο	V-INI-3P
009361	διαλογίζεσθε	V-PNI-2P
009479	Ἀποκριθεὶς	V-AOP-NSM
009494	Ἀποκριθεὶς	V-AOP-NSM
009557	ἔσται	V-FDI-3S
009569	ἔσται	V-FDI-3S
009588	ἤρξατο	V-ADI-3S
009623	ἤρξατο	V-ADI-3S
009632	ἔσται	V-FDI-3S
009671	ἀπαρνησάσθω	V-ADM-3S
009730	ἔρχεσθαι	V-PNN
009761	γεύσωνται	V-ADS-3P
009770	ἐρχόμενον	V-PNP-ASM
009830	ἀποκριθεὶς	V-AOP-NSM
009893	ἐφοβήθησαν	V-AOI-3P
009906	φοβεῖσθε	V-PNM-2P
009925	ἐνετείλατο	V-ADI-3S
009961	ἀποκριθεὶς	V-AOP-NSM
009965	ἔρχεται	V-PNI-3S
010025	σεληνιάζεται	V-PNI-3S
010048	ἠδυνήθησαν	V-AOI-3P
010051	Ἀποκριθεὶς	V-AOP-NSM
010065	ἔσομαι	V-FDI-1S
010068	ἀνέξομαι	V-FDI-1S
010106	ἠδυνήθημεν	V-AOI-1P
010135	μεταβήσεται	V-FDI-3S
010245	πορευθεὶς	V-AOP-NSM
010291	προσκαλεσάμενος	V-ADP-NSM
010339	δέξηται	V-ADS-3S
010348	δέχεται	V-PNI-3S
010397	ἔρχεται	V-PNI-3S
010519	πορευθεὶς	V-AOP-NSM
010635	ἔσται	V-FDI-3S
010646	ἔσται	V-FDI-3S
010669	γενήσεται	V-FDI-3S
010789	Σπλαγχνισθεὶς	V-AOP-NSM
010874	προσκαλεσάμενος	V-ADP-NSM
010991	ἀποκριθεὶς	V-AOP-NSM
011022	ἔσονται	V-FDI-3P
011048	ἐνετείλατο	V-ADI-3S
011091	μοιχᾶται	V-PNI-3S
011152	δυνάμενος	V-PNP-NSM
011165	προσεύξηται	V-ADS-3S
011198	ἐπορεύθη	V-AOI-3S
