SERAIAH	西萊雅
SAMGAR-NEBO	三甲尼波
THEUDAS	丟大
DIONYSIUS	丟尼修
DIOTREPHES	丟特腓
DEUEL	丟珥
NAAMAN	乃縵
ADIN	亞丁
ANER	亞乃
ATHALIAH	亞他利雅
ATARAH	亞他拉
ATHAIAH	亞他雅
ABEL	亞伯
ABEDNEGO	亞伯尼歌
ABDI	亞伯底
ABRAHAM	亞伯拉罕
ABDEEL	亞伯疊
ABRAM	亞伯蘭
ABDON	亞伯頓
AHOAH	亞何亞
AHOLIAB	亞何利亞伯
AHLAI	亞來
AMON	亞們
AARON	亞倫
ARIEL	亞列
ARELI	亞列利
ABIEL	亞別
ARIDAI	亞利代
ARIEL	亞利伊勒
ARISTOBULUS	亞利多布
ARIDATHA	亞利大他
ARIEH	亞利耶
ARISAI	亞利賽
ALEXANDER	亞力山大
ATHLAI	亞勒
ARD	亞勒
ALVAN	亞勒文
ALVAH	亞勒瓦
ALPHAEUS	亞勒腓
AUGUSTUS	亞古士督
AGUR	亞古珥
ACHISH	亞吉
AHAB	亞哈
AHARAH	亞哈拉
AHOAZ	亞哈斯
AHOAZIAH	亞哈謝
AHASAI	亞哈賽
AHASUERUS	亞哈隨魯
AHARHEL	亞哈黑
ARETAS	亞哩遠
AGEE	亞基
ARCHIPPUS	亞基布
AGRIPPA	亞基帕
ARCHELAUS	亞基老
ADONIKAM	亞多尼干
ADONI-BEZEK	亞多尼比色
ADONI-ZEDEC	亞多尼洗德
ADONIRAM	亞多尼蘭
ADONIJAH	亞多尼雅
ADORAM	亞多蘭
ADAH	亞大
ADALIA	亞大利雅
ADAIAH	亞大雅
ATTAI	亞太
ANAIAH	亞奈雅
ASHBEL	亞實別
ASHKENAZ	亞實基拿
AQUILA	亞居拉
ARBA	亞巴
AHI	亞希
AHIEZER	亞希以謝
AHITHOPHEL	亞希多弗
AHIAH	亞希幔
AHILUD	亞希律
AHIHUD	亞希忽
AHIRA	亞希拉
AHINADAB	亞希拿達
AHIMOTH	亞希摩
AHISAMACH	亞希撒抹
AHINOAM	亞希暖
AHIAM	亞希暗
AHISHAHAR	亞希沙哈
AHISHAR	亞希煞
AHIMAAZ	亞希瑪斯
AHIKAM	亞希甘
AHITUB	亞希突
AHIMELECH	亞希米勒
AHIO	亞希約
AHIRAM	亞希蘭
AHIJAH	亞希雅
ASAIAH	亞帥雅
ACHAN	亞干
AKAN	亞干
ADDI	亞底
ADINO	亞底挪
AROD	亞律
ADER	亞得
ADRIEL	亞得列
ADRAMMELECH	亞得米勒
ADBEEL	亞德別
AZEL	亞悉
ASSIR	亞惜
AHUZZATH	亞戶撒
AHUZAM	亞戶散
AHUMAI	亞戶買
AZOR	亞所
AMAL	亞抹
ARA	亞拉
ARAH	亞拉
ARAD	亞拉得
ALAMETH	亞拉篾
ADATHA	亞拔他
ANATH	亞拿
ANAH	亞拿
ANNA	亞拿
ANANIAS	亞拿尼亞
ANATHOTH	亞拿突
ARTEMAS	亞提馬
ARMONI	亞摩尼
AMOS	亞摩斯
AMOZ	亞摩斯
ALMODAD	亞摩答
AZAZ	亞撒
ASA	亞撒
ASAREEL	亞撒列
AZARAEL	亞撒利
AZARIAH	亞撒利雅
AZAZIAH	亞撒細雅
AZAZIAH	亞撒西雅
ASAIAH	亞撒雅
ASAHEL	亞撒黑
AZANIAH	亞散尼
APHIAH	亞斐亞
AZRIEI	亞斯列
AZRIKAM	亞斯利干
ASPATHA	亞斯帕他
ASRIEL	亞斯烈
AZMAVETH	亞斯瑪威
AZMAVETH	亞斯瑪弗
ASNAPPER	亞斯那巴
ASHUR	亞施戶
ASHPENAZ	亞施毗拿
ASHVATH	亞施法
ASSHURIM	亞書利
ASHVATH	亞木
ABIEL	亞比
ABIAH	亞比亞
ABIATHAR	亞比亞他
ABIASAPH	亞比亞撒
ABIALBON	亞比亞本
ABIHAIL	亞比亥
ABITAL	亞比他
ABIEZER	亞比以謝
ABIDAN	亞比但
APELLES	亞比利
ABIDAH	亞比大
ABIJAM	亞比央
ABIHAIL	亞比孩
ABHUD	亞比忽
ABIHU	亞比戶
ABINADAB	亞比拿達
ABINOAM	亞比挪菴
ABISHUA	亞比書
ABISHAG	亞比煞
ABIUD	亞比玉
ABIMAEL	亞比瑪利
ABITUB	亞比突
ABISHAI	亞比篩
ABIMELECH	亞比米勒
ABIRAM	亞比蘭
ABIGAIL	亞比該
ABISHUR	亞比述
ABIJAH	亞比雅
ABDON	亞比頓
ARPHAXAD	亞法撒
APOLLOS	亞波羅
ATER	亞特
ARGOB	亞珥歌伯
ARNAN	亞珥難
AHIAN	亞現
AMARIAH	亞瑪利亞
AMARIAH	亞瑪利雅
AMALEK	亞瑪力
AMASHAI	亞瑪帥
AMASA	亞瑪撒
AMASIAH	亞瑪斯雅
AMAZIAH	亞瑪謝
AMASAI	亞瑪賽
AGAG	亞甲
ADAM	亞當
ARIOCH	亞畸
ADIEL	亞疊
ADINA	亞第拿
ADIEL	亞第業
ADLAI	亞第賚
AMIASIEL	亞米
AMMIEL	亞米利
AMITTAI	亞米太
AMMIHUD	亞米忽
AMMINADAB	亞米拿達
AMMISHADDAI	亞米沙代
ARODI	亞羅底
APPHIA	亞腓亞
AHLAI	亞萊
ASIEL	亞薜
ASAPH	亞薩
AZAREEL	亞薩列
AZALIAH	亞薩利
ASARELAH	亞薩利拉
ARAN	亞蘭
ARAM	亞蘭
AZIZA	亞西撒
ASENATH	亞西納
ASHER	亞設
ACHAICUS	亞該古
ANUB	亞諾
AKKUB	亞谷
AHBAN	亞辨
AGABUS	亞迦布
APPAIM	亞遍
ATAD	亞達
ADDAR	亞達珥
ARTAXERXES	亞達薛西
ASYNCRITUS	亞遜其土
ANNAS	亞那
ARISTARCHUS	亞里達古
ACHIM	亞金
AJAH	亞雅
ARZA	亞雜
ANAN	亞難
ANANIAH	亞難尼
ACHBOR	亞革波
AHER	亞黑
ALLON	亞龍
ISHUAH	亦施瓦
ISUI	亦施韋
ISCAH	亦迦
TIMNA	亭納
TABRIMON	他伯利們
TABEEL	他別
TAREA	他利亞
TA-HATH	他哈
TERAH	他拉
TELAH	他拉
THAR-SHISH	他施
TARSHISH	他施斯
TAPPUAH	他普亞
TABEAL	他比勒
TA-PHATH	他法
TAMAR	他瑪
TAHAN	他罕
THAHASH	他轄
ITHAMAR	以他瑪
