Michmas	默瑪
Mount Hermon	黑門山
Hermon	黑門
Helkath	黑甲
Helbon	黑本
Helbah	黑巴
Heshmon	黑實門
house of the forest of Lebanon	黎巴嫩林宮
Machpelah	麥比拉
valley of salt	鹽谷
Dead sea	鹽海
Rumah	魯瑪
Luhith	魯希
Fish Gate	魚門
Cauda	高大
Shephelah	高原
The Place of a Skull	髑髏地
Malta	馬耳他
Magadan	馬加丹
Macedonia	馬其頓
Immer	音麥
Gennesaret	革尼撒勒
Cnidus	革尼土
Crete	革哩底
Philadelphia	非拉鐵非
Sea of the Philistines	非利士海
Philistia	非利士
Japhia	雅非亞
Jahaz	雅雜
Janim	雅農
Jaazer	雅謝
Jabneel	雅比聶
Jabez	雅比斯
Jabneh	雅比尼
Jattir	雅提珥
Janoah	雅挪哈
Javan	雅完
Jagur	雅姑珥
Jahzah	雅哈撒
Lehem	雅叔比利恆
Jabbok	雅博河
Jabbok	雅博
Athens	雅典
Gibeath-haaraloth	除皮山
Beth-togarmah	陀迦瑪
Topheth	陀斐特
Tophel	陀弗
Tochen	陀健
Tob	陀伯
Ono	阿挪
Arabia	阿拉伯
Abronah	阿博拿
Alemeth	阿勒篾
Oboth	阿伯
mount Zion	錫安山
Zion	錫安
Geruth Chimham	金罕寓
Puteoli	部丟利
Casiphia	迦西斐雅
Gaza	迦薩
Galeed	迦累得
Capernaum	迦百農
Gallim	迦琳
Gath	迦特
Cabul	迦步勒
Cabbon	迦本
Caphtor	迦斐託
Cana	迦拿
Calah	迦拉
Gebal	迦巴勒
Geba	迦巴
Gaash	迦實
Mount Carmel	迦密山
Carmel	迦密
Carchemish	迦基米施
Canaan	迦南
Calno	迦勒挪
Chaldea	迦勒底
Bilhah	辟拉
Luz	路斯
Lud	路德
Lystra	路司得
Syrtis	賽耳底
valley gate	谷門
Gudgodah	谷歌大
Pelusium	訓
Corner Gate	角門
Sidon	西頓
Zedad	西達達
Sirion	西連
Secacah	西迦迦
Valley of Siddim	西訂谷
Siloam	西羅亞
Sephar	西發
Spain	西班牙
Mount Seir	西珥山
Seir	西珥
Seleu'cia	西流基
Sepharvaim	西法瓦音
Sepharad	西法拉
Secu	西沽
Sibmah	西比瑪
Shihor	西曷
Sitnah	西提拿
cistern of Sirah	西拉井
Sela	西拉
Ziph	西弗
Tigris	西底結
Zeb'ulun	西布倫
Seneh	西尼
Sinai	西奈
Zererah	西利拉
Sibraim	西伯蓮
Mount Sinai	西乃山
Ziddim	西丁
Field of Blood	血田
Gomorrah	蛾摩拉
Rameses	蘭塞
Suphah	蘇法
Jekabzeel	葉甲薛
Laishah	萊煞
Phoenix	菲尼基
Ai	艾
Rimmonperez	臨門帕烈
Rimmon	臨門
Philippi	腓立比
Phenice	腓尼基
Dophkah	脫加
Jerusalem	耶路撒冷
Mount Jearim	耶琳山
Jeshanah	耶沙拿
Jarmuth	耶末
Jeshua	耶書亞
Jezreel	耶斯列
Jebus	耶布斯
the City of the LORD	耶和華的城
Jericho	耶利哥
Laodicea	老底嘉
BeautifulGate	美門
sheep gate	羊門
Rome	羅馬
Lod	羅德
Lodebar	羅底巴
Rhodes	羅底
Red Sea	紅海
Jokmeam	約緬
Jokdeam	約甸
Jordan	約旦
Jotbah	約提巴
Jokneam	約念
Joktheel	約帖
Joppa	約帕
Jotbathah	約巴他
Jobab	約巴
river Jordan	約但河
dung gate	糞廠門
Meshech	米設
Mount Mizar	米薩山
Millo	米羅
Migron	米磯崙
Midian	米甸
Mephaath	米法押
Mishal	米沙勒
Mesha	米沙
Mizpah	米斯巴
Mizpah	米斯巴
Mitylene	米推利尼
Mesopotamia	米所波大米
Medeba	米底巴
Media	米底亞
Minni	米尼
Meconah	米哥拿
Megiddo	米吉多
Minnith	米匿
Miletus	米利都
Meribah	米利巴
Merom	米倫
Tehaphnehes	答比匿
Riblah	第伯拉他
Second Quarter	第二區
Libnah	立拿
Leb-kamai	立加米
Shiloh	示羅
Shema	示瑪
Sebam	示班
Shion	示按
Shinar	示拿
Sheba	示巴
Senir	示尼珥
Shechem	示劍
Iphtah	益弗他
Zuph	疏弗
Succoth	疏割
Succoth	疏割
Bethesda	畢士大?
Kabzeel	甲薛
Calneh	甲尼
Karkaa	甲加
Gimzo	瑾鎖
Madon	瑪頓
Maon	瑪雲
Makaz	瑪迦斯
Maacah	瑪迦
Maarath	瑪臘
Massah	瑪撒
Manahath	瑪拿轄
Mareal	瑪拉拉
Marah	瑪拉
Madmenah	瑪得米那
Maroth	瑪律
Masrekah	瑪士利加
Makkedah	瑪基大
Mahanaim	瑪哈念
Magog	瑪各
Mareshah	瑪利沙
Media	瑪代
Mattanah	瑪他拿
Zoar	瑣珥
Zorah	瑣拉
Serpent's Stone	瑣希列磐石
Zobah	瑣巴
Zoan	瑣安
King's Valley	王谷
Judea	猶太
Judah	猶大
Troas	特羅亞
Tel-melah	特米拉
Trachoni'tis	特拉可尼
Derbe	特庇
Tel-harsha	特哈薩
Uzal	烏薩
Ulai	烏萊
Ummah	烏瑪
Uphaz	烏法
Uz	烏斯
Uzza	烏撒
Fuller's Field	漂布地
city of destruction	滅亡城
Juttah	淤他
Valley of the Travelers	海東人所經過的谷
Hauran	浩蘭
valley of Baca	流淚谷
Ziklag	洗革拉
Zemaraim	洗瑪臉
Zior	洗珥
Valley of Zeboim	洗波音谷
Zephath	洗法
Zenan	洗楠
Zela	洗拉
Zeboim	洗扁
Zeredah	洗利達
Bozrah	波斯拉
Bozkath	波斯加
Pharpar	法珥法
gate of the fountain	泉門
Zelzah	泄撒
Sharuhen	沙魯險
Shaalbim	沙賓
Shaalim	沙琳
Saphir	沙斐
Shaaraim	沙拉音
Shaalabbin	沙拉賓
Valley of Shaveh	沙微谷
Shaveh-kiriathaim	沙微基列亭
Sharon	沙崙
Shamir	沙密
Shalishah	沙利沙
Kidron Valley	汲淪溪
Sin	汛
water gate	水門
Peor	毘珥
Pisgah	毘斯迦
Pethor	毘奪
Perazim	毗拉心
Peniel	毗努伊勒
Beeroth	比錄
Bileam	比連
Bezek	比色
Berothai	比羅他
Beon	比穩
Beten	比田
Beer	比珥
brook Besor	比梭溪
Besor	比梭
Pithom	比東
Bizjothjah	比斯約他
Pirathon	比拉頓
Valley of Beracah	比拉迦谷
Beracah	比拉迦
Bela	比拉
Bezer	比悉
Betonim	比多寧
Pi-beseth	比伯實
Betah	比他
Bealoth	比亞綠
Mysia	每西亞
Myra	每拉
valley of Slaughter	殺戮谷
Gog	歌革
Colosse	歌羅西
Goshen	歌珊
Gozan	歌散
Borashan	歌拉珊
